,number,progress,title,like,contents,answer,category,sday,eday,proponent
1459,191460,청원종료,애견공원 좀 만들어주세요,6,애견인구가 점점 늘어가는 반면 비애견인과 충돌이 자주 일어납니다 강아지들은 사람을 자주보고 다른 개들도 자주 봐야 사회성이 길러지는데 요즘 비애견인들 때문에 사람 없는곳으로만 다니리 강아지들은 사람만 보면 경계하게 됩니다,,반려동물,2018-04-08,2018-05-08,naver
2470,192471,청원종료,애견분양금지법 (동물관련법)ㅡ애견샵,39,"플라스틱 케이지에 담아 파는 강아지들 문제라고 생각안해보셨습니까 죄다 불법으로 처리하고 벌금 심하면 구속 처리해야합니다 

강아지들이 무슨 파충류도 아니고 그들의 행동반경이 얼마나 넓은데 이 얼마나 심한 동물학대인지 
이렇게 오랫동안 심하게 방치되었는데 아무런제제도 없는 나라는 대한민국이 유일할겁니다!!! 
매일 꺼내달라고 발버둥치는강아지들을 보면 불쌍하다는 생각이 안드십니까 심지어 그아이들은 강아지공장에서 온아이들이죠 국민청원이 한차례있었음에도 불구하고 그대로입니다 
-강아지 분양은 무조건 개인분양으로!! 
-애견샵은 모두 철폐하고 동물학대죄로 처벌해주십쇼!!!",,반려동물,2018-04-09,2018-05-09,naver
2797,192798,청원종료,개를 무서워 하는 사람의 권리보장을 위하여,1,"저는 개를 무서워하고 싫어하는 한 중1학생입니다.
최근에 전 이사를 했습니다. 근데 이사한 아파트에서 사람들이 개를 많이 키우시더라고요.. 근데 불합법적으로 개의 목줄을 안하시는 분들도 많이 계십니다. 또한 저희 평균 또래만한 크기의 개는 더욱 무서운데 목줄을 안하시는 분들도 계시고..
혹시라도 물까봐 곁을 못지나가겠습니다. 저도 인간으로서 당당하게 아파트 단지를 두려움없이 다니고 싶습니다. 그리고 건물안에서는 개를 안고 있어야 한다고 생각합니다. 목줄이 대략 1m라고 해도 결국 엘리베이터에 같이 타게되면 아무런 소용이 없거든요... 근데 오히려 목줄 안하고 계시는 분들은 당당합니다. 전 아직 어리기 때문에, 또한 개를 무서워하기 때문에 그분 근처에 가서 뭐라고 할 수도 없습니다. 저도 아파트를 당당하게 다닐 권리는 있다고 봅니다. 개를 무서워 한다는 이유만으로 저의 권리를 빼앗지 말아주셨으면 좋겠습니다. 부탁드립니다.. 전 두려움 속에서 저의 아파트조차 제대로 못 지나다니고 있습니다...",,반려동물,2018-04-09,2018-05-09,facebook
3278,193279,청원종료,도와주세요. 저희 개가 이웃에게 처참히 죽임을 당했습니다.,13281,"3월4일 일요일 오후5시44분이 자택에 설치되어있던 CCTV속의 모습이 마지막이 되어 버렸습니다.  

오후6시3분 아무리 불러도 오지 않아, 오후6시11분에 온 마을을 돌아다니며 ""꿀이""라고 외쳐보았지만 돌아오지 않았습니다. 

다음날 바로 사례금50만원이 적힌 전단지와 현수막을 제작하여 설치하고 마을주민과 인근주민에게 배포하고 유기견사이트공고 카페공고 체취가 담긴 옷 모든 수단을 동원해도 전혀 소식이 없어 누군가 좋은 분이 데리고 가셔서 키워주시는 걸꺼야 하며 최면을 걸었습니다. 

마음이 초조해져 사례금을 더 올리면 좋겠다는 조언을 듣고 100만원으로 올려보았지만, 역시나 연락이 없었습니다. 

그러던 4월9일 오늘 한 주민분의 제보를 받았습니다. 

그 아이는 지금 이 세상에 없다고 누가 잡아먹었다고 세상이 무너지는 것 같았습니다. 

그 범인은 바로 아랫집에 살고 있는 믿었던 이웃이였고, 제가 전단지를 주었던 3월5일 오전9시에도 살아 있었는데, 그렇게 애타게 애절하게 찾으면 연락을 달라고 그렇게 부탁 하였는데 얼굴색 하나 변하지 않고 자기는 보지 못했다고 보면 연락을 주겠다던 이웃주민이였습니다. 그 다음날 저희 부모님께서 너무 힘들어 하며 찾아서 약주도 같이 하셨고, 그 다음날은 뻔뻔하게 와서는 농사를 지어야하니 거름까지 뿌려달라며 요청을 하여 저희 아버지 께서 해주셨다고 합니다. 

네.. 그렇게나 가까운 이웃사이입니다... 

그 사람은 그 개가 저희 집 개인것도 알았습니다. 저희집에 왔을때 강아지 시절부터 봤고 제가 산책시키는 것도 종종 봤으니까요..근데 먹이까지 줘서 유인하여 저희 개를 목을 매달아 죽이고 여러사람과 나누어 먹었습니다. 심지어 저희 아버지에게 먹으러 오라고 까지 했다고 합니다. 
저희 아버지는 드시지 않기 때문에 거절하셨지만 
저희 개 인것을 알고 죽였으면서 그걸 먹으러 오라는 것이 정녕 사람이 할 수 있는 일인건지. 악마 같습니다. 

너무 무섭고 괴롭습니다. 제가 찾았던 일요일 저녁에 그 어두운 창고안에서 저희 가족을 얼마나 애타게 기다렸을까요. 
설마 믿은 이웃이 나쁜짓을 하지 않았겠지 라는 믿음?혹은 안일한생각? 때문에 그 사람의 집을 더 찾아 보지 못한게... 너무 한이 됩니다... 

목이 매 있는 순간 얼마나 고통스럽고 무서웠을까요... 아무것도 모르는 그 아이를 죽이고 다 함께 나누어 먹고 그냥 지나가기에는 은폐하기에는 이웃이라는 이유로 그냥 넘어가기에는 힘들것같습니다. 

너무 무섭고 끔찍합니다. 

현재는 증인을 확보하고 경찰신고를 하여 저희집에서 진술서를 작성 한 상태입니다. 다행히도 경찰관분들께서 개를 참 이뻐하시는 분들이고 반려견을 키우시는 분들이라서 진술서작성하는 법과 사건조사에도 적극적으로 임해주셨습니다. 

저는 이 사건에 대하여 이슈화시키고 이런 일이 더이상 일어나지 않게 공론화하고 싶습니다. 

눈물이 나지 않을 만큼 꿈 같습니다. 

아직도 우리에게 와서 엉덩이를 흔들고 올 것 만 같습니다. 

저도 모든 것을 내려 놓고 싶지만, 우리 죄없는 꿀이 억울 한 것 조금이나마 풀어주고 싶습니다. 

뼈는 어디에 버렸는지 뼈 한점 찾지 못했습니다. 

간절하게 호소드립니다. 
더이상 이런 피해가 발생하지 않게 도와주세요. 힘을주세요.  동물보호법은 강화 되어야 합니다.
그리고 마땅히 죄를 지은 자는 벌을 받아야 합니다.

도움 주시는 모든 분들께 고개숙여 감사드립니다.

* 아고라 청원도 한번씩 부탁드리겠습니다.

도와주세요.저희개가 이웃에게 처참히 죽임을 당했습니다. – Daum 아고라 - http://m.bbs3.agora.media.daum.net/gaia/do/mobile/petition/read?articleStatus=S&cPageIndex=1&bbsId=P001&cSortKey=depth&articleId=214386#none",,반려동물,2018-04-10,2018-05-10,naver
4247,194248,청원종료,동물복지-반려견되 뛸수 있게 해주세요,21,"안녕하십니까? 
정말 많은 고민끝에 문을 두드리게 되었습니다.
반려견에 대한 전문인이 아니라 전문적 지식을 인용하지는 못하지만 생명존중의 마음만 믿고 글을 적어봅니다.
이번에 반려견 산책시 과태료에 대한 조항을 보았습니다
동의 합니다.
하지만 무엇이든지 시행이전에 근본적인 문제가 먼저 해결되어야 하지 않나 싶습니다.
이법을 시행하는것은 분명 반려견의 공격성 때문일것입니다.
TV에서 너무 반려견의 공격성을 다루다보니  사람들이 반려견을 보면 끔직한 동물로 매도,치부하는게 마음아픕니다
그렇게 따진다면 사람처럼 잔인한 생명체가 어딨습니까 
부모 형제도 죽이고  묻지마 살인에 폭력, 그럼 모든사람들을 경계, 멸시해야하나요

'개통령이라고 불리는 강형욱 동물 조련사'의 말에도 늘 목줄과 입마개를 강조하지만
또 하나 강조하는것이 '안전한곳에 가서 마음껏 뛸수 있게 목줄을 풀어 줘라'라고하는데
도시 생활에서 과연 사람들이 없는 공간, 반려견에게 안전한 공간이 어디에 존재할까요?
어떻게 개가 평생을 걸어만 다닐 수 있겠습니까?
마음껏 뛰고싶은 욕구는 사람에 비할바가 못될겁니다.
한번쯤은 숨이 턱까지 차게 뛰어도 주고 다른 반려견과도 만남을 가진다면
스트레스도 풀리고 기본적인 동물의 욕구도 충족되면서 사회화가 이루워져 사람을 경계하고 공격하는 행위는
 분명히 줄어들것입니다.
그래서 각 지역에 반려견 공원을 만들어 주십시요
넓고 쾌적하게 만들어주시면 좋겠지만
그럴수 없는 환경이라면 이미 사람을 위해 꾸며진 공원 한곁에 팬스만이라도 쳐주셔서 반려견들이 서로 사회화도 기르고  마음껏 뛸수도 있도록 해주십시요
요즘은 강변을 산책코스로 많이 활용하고있으니 그 코스 한곁에라도 반려견을 위한 공간을 부탁드립니다.
뛰지못하는 반려견 너무 가엽습니다. 

현대 생활인의 아픈마음을 분명 반려견으로 부터 치유를 받고 있습니다
우리도 아픈 반려견의 마음을 조금이나마 치유를 해주면서 우리가 치유를 받아야하지 않을까요
그리고 더 나아가 유럽의 동물 복지가 우리나라 현실과는 많이 다르다고는 하지만
멀리 내다보면 분명 유럽과 같은 동물 복지를 시행해야합니다.
당장이라도 샵에서 분양하는 조건에서부터 법이 만들어졌으면 좋겠습니다.
주먹만한 생명을 이가게 저가게 창가에다가 우후 죽순으로 전시해놓고, 
사람의 관심만을 바라보며 살아가는 반려견이라는 생명을,  돈벌이 수단으로만 볼수 없게
분양조건을 까다롭게 한다면 유기견의 수도 줄일 수 있지  않을까요  (독일같은 법이면 너무나 좋을것 같습니다.)
지금부터 하나 둘 바꾸지 않으면 먼 훗날에도 바껴 있질 않을겁니다.
지금부터 바꾸어 주십시요.
강아지!!  개!!  사람을 향해 꼬리치며 사람을 원망 할 줄 모릅니다.
이 큰 지구라는 땅위에  반려견도 뛸 수 있는 권리가 있음을 부여해주십시요
감사합니다",,반려동물,2018-04-10,2018-05-10,naver
4548,194549,청원종료,개 식용을 금지시켜 주십시요.,19,"사람이든지.동물이든지.한생명은 귀중하고 고귀한것입니다.
2천년전부터  사람과 개는 한집에서 살았습니다.
이제 대한민국땅에서 개학대와 개식용은 사라져야 됩니다.
국민여러분들의  많은성원과  새생명을 살리는데 꼭 동참해주시길 간곡히 바랍니다.",,반려동물,2018-04-10,2018-05-10,naver
4871,194872,청원종료,대구 러브펫 불법화장하는데도 계속 운영하고 있습니다. 그리고 행정소송 하고 있는데 이겼습니다.,2,"대구 러브펫 불법화장을 칠곡에서 하고 있는데도 칠곡군과 대구 시청은 서로 미루기만 하고 나 몰라라 하고 있습니다. 실제로 칠곡에서 불법화장을 하고 있으며 그 와중에도 행정소송을 하여 이겼습니다. 어머니가 동네에서 사람들과 그렇게 반대를 하고 계시는데도 칠곡군청도 나몰라라, 대구 서구청에서도 나몰라라 합니다. 어떻게 불법화장을 하고 있는 업체를 제대로 단속도 하지 않고, 또 그 주소까지 알려드렸는데도 발각을 못하는지요?? 다른 뒷거래가 있는지 조사해야 되는거 아닌가요?? 

칠곡 불법화장을 하는 곳은 주소가 '칠곡군 지천면 낙산로1길 147' 입니다. 꼭 적발해주시고 아래에 블로그 링크
보시면 사람들이 칠곡에서 화장했다고 합니다. 이를 빌미로 행정소송에서 패소해서 불법화장을 근절해야 됩니다.

고생하는 마을 대표님들을 위해서 꼭 처리해주시기 바랍니다. 꼭 가셔서 적발하셔서 행정소송 자료로 활용해주세요.
그리고 불법화장 못하게 반려동물 사랑에 힘 써주세요. 환경법, 폐기물법 다 해당됩니다.
대구 러브펫은 장례식장 등록으로 장례만 할 수 있지, 화장은 절대 못하는 업체입니다. 

동네 사람들 위해서 꼭 힘써주세요. 부탁입니다. 어머니께서 다시 동네사람들과 서구청 찾아간다고 하십니다.",,반려동물,2018-04-10,2018-05-10,naver
5097,195098,청원종료,"반려동물을 때려죽여도 바라만 봐야하는 대한민국, 대체 동물보호법은 언제 개정되나?",57,"반려동물이 소유물인가요?
그래서 주인이 반려동물을 때려죽여도 우리는 바라만 봐야하는건가요?
이런 끔찍한 일들이 우리 주변에서 흔하게 발생하는데도 불구하고 아직 동물보호법 개정은 소식이 없습니다.
그 잘난 국회의원들은 지금 이 순간도 외유성 해외연수 다닐 생각에 잠을 못 이루고 계신가요?
학대 당하는 반려동물이 내 자식이었다면 당장이라도 개정했겠죠!
그러고보면 대한민국은 겉으로는 OECD가입국이라고하지만 미개함 그 자체입니다.
대체 언제까지 이런 현실을 바라만 봐야합니까?
언제까지 반려동물의 주인이 될 수 없는 쓰레기 같은 인간들이 학대하는 모습을 바라만봐야합니까?
빨리 동물보호법을 강력하게 개정해주세요.",,반려동물,2018-04-11,2018-05-11,facebook
5640,195641,청원종료,동물학대 막아주세요.,167,"금일을 포함해 수차례 유튜브나 동영상 사이트에 고양이나 강아지를 폭행하는 영상이 올라오고있습니다. 
그런 영상을 보고도 어디에 어떻게 신고하지도 못하고 현재로서는 너무 막막합니다.
분노하고만 있을 수도 없습니다.
이 순간에도 학대를 받으며 두려움에 떨고 있는 많은 동물들이 있다는것, 그리고 제가 아무것도 하지못하고 있다는 사실이 너무 화나고 안타깝습니다.
제발 방법을 마련해주세요. 부탁드립니다.",,반려동물,2018-04-11,2018-05-11,naver
5792,195793,청원종료,강아지도 의료보험이 필요해요,6,강아지 병원비가 너무 비싸니  유기하는 경우가 많이 생기기도 하고 솔직히 병원 데리고 가기 부담스럽습니다,,반려동물,2018-04-11,2018-05-11,naver
